epoch,loss,val_loss
0,3664073.5,330734.28125
1,204394.78125,133501.359375
2,107499.8125,88162.9296875
3,78205.4921875,68048.171875
4,62399.82421875,56972.4609375
5,51422.28125,48549.671875
6,43277.64453125,40010.7734375
7,36191.55078125,33656.16796875
8,30899.0,29620.431640625
9,26318.275390625,26592.21484375
10,21418.57421875,23589.005859375
11,18903.314453125,15322.8564453125
12,13783.3046875,13410.5048828125
13,12266.572265625,8700.4052734375
14,7414.986328125,6583.7373046875
15,5149.19970703125,3017.27880859375
16,6286.25439453125,2453.7265625
17,-301.2900695800781,-1946.8162841796875
18,-3231.073974609375,-2683.10546875
19,-4307.42724609375,-5109.28466796875
20,-6603.7060546875,-8331.103515625
21,-8080.173828125,-9826.4638671875
22,-6680.990234375,-9149.3896484375
23,-12457.8642578125,-13834.33203125
24,-14167.1572265625,-14386.150390625
25,-12699.03515625,-14161.6259765625
26,-17016.30078125,-18326.619140625
27,-18076.037109375,-18912.380859375
28,-19121.462890625,-18013.6484375
29,-19831.197265625,-20715.25390625
30,-19024.8515625,-16839.765625
31,-21057.68359375,-23363.9453125
32,-23412.91796875,-23555.96484375
33,-23750.8046875,-22869.513671875
34,-25297.302734375,-26041.109375
35,-25638.755859375,-23861.83984375
36,-27225.966796875,-28242.13671875
37,-27395.52734375,-26611.580078125
38,-28336.9921875,-7539.326171875
39,-23938.595703125,-30277.36328125
